Longitud,Latitud,Valor
-66.81700,-29.38300,5.20000
-57.15200,-29.68900,7.80000
-61.95000,-29.88300,6.70000
-63.68300,-29.90000,5.60000
-57.65000,-30.26700,8.00000
-66.28300,-30.36700,7.90000
-56.52000,-30.40000,3.60000
-55.47600,-30.97500,3.70000
-57.99700,-31.29700,9.50000
-64.21700,-31.31700,6.20000
-57.96700,-31.43300,3.60000
-63.88300,-31.66700,3.70000
-60.48300,-31.78300,8.20000
-65.14600,-31.94500,5.50000
-58.03300,-32.33300,5.50000
-54.18300,-32.35000,3.70000
-62.15800,-32.68400,7.30000
-68.78300,-32.83300,3.40000
-60.78500,-32.90400,7.00000
-58.61300,-33.01000,7.90000
-68.41700,-33.08300,3.50000
-64.26100,-33.08500,6.50000
-58.06700,-33.25000,2.80000
-66.35600,-33.27300,5.60000
-56.50000,-33.35000,4.20000
-65.38700,-33.73000,5.70000
-63.36700,-34.13300,8.60000
-57.77100,-34.45600,3.00000
-54.30000,-34.48300,3.40000
-60.93100,-34.54600,5.20000
-58.41600,-34.55900,6.30000
-58.48300,-34.58300,6.60000
-68.40300,-34.58800,7.30000
-58.53600,-34.82200,5.90000
-56.03100,-34.83800,2.40000
-57.89500,-34.97200,5.20000
-69.57400,-35.49400,3.40000
-63.75800,-35.69600,7.60000
-61.90000,-35.86700,5.70000
-59.10000,-36.06700,7.50000
-61.06700,-36.20000,7.70000
-57.73300,-36.35000,6.70000
-64.26600,-36.56700,5.90000
-59.88300,-36.83300,7.20000
-59.22800,-37.23700,5.90000
-57.58300,-37.93300,4.80000
-60.33000,-38.38700,5.30000
-62.16700,-38.73300,4.40000
-68.13300,-38.95000,2.10000
-65.10000,-40.78300,3.60000
-63.00000,-40.86900,2.80000
-71.15800,-41.15100,5.10000
-68.73300,-41.25000,1.60000
-71.53200,-41.94300,5.60000
-71.15000,-42.93300,3.10000
-65.26600,-43.20000,2.00000
172.53200,-43.48900,2.00000
147.14500,-43.48920,2.20000
146.27100,-43.65780,2.90000
-68.88300,-43.81700,2.50000
-67.50000,-45.78300,2.20000
168.33300,-46.41700,2.80000
-71.01700,-46.51700,1.40000
37.86700,-46.88300,5.50000
-65.90400,-47.73500,1.60000
-67.80300,-49.30700,1.30000
70.25000,-49.35000,2.00000
-72.05000,-50.26700,1.20000
166.30000,-50.48300,3.20000
-69.28300,-51.61700,1.30000
-58.44700,-51.82300,1.20000
169.16700,-52.55000,4.30000
-67.74900,-53.77800,1.20000
158.93700,-54.49900,3.40000
-68.29600,-54.84300,1.40000
-44.73300,-60.73300,2.40000
-58.88300,-62.18300,1.90000
-58.98300,-62.18300,1.60000
-58.63300,-62.23300,1.10000
-59.68300,-62.50000,2.80000
-56.68300,-63.31700,2.50000
-56.98300,-63.40000,1.60000
-56.71700,-64.23300,1.60000
-64.08300,-64.76600,3.30000
110.51700,-66.28300,0.50000
93.01700,-66.55000,2.30000
-67.13300,-68.11700,2.20000
77.95000,-68.58300,0.20000
76.38300,-69.38300,0.70000
11.83300,-70.76700,0.40000
2.38300,-72.01700,1.40000
-34.61700,-77.86700,1.30000
106.86700,-78.45000,0.10000
